,STATE,COUNTY,total_pop,n,indig_ratio,st_county
1,1,1,54571,633,0.011599568,1001
2,1,3,182265,2722,0.014934299,1003
3,1,5,27457,328,0.011945952,1005
4,1,7,22915,195,0.00850971,1007
5,1,9,57322,796,0.013886466,1009
6,1,11,10914,217,0.019882719,1011
7,1,13,20947,129,0.0061584,1013
8,1,15,118572,1417,0.011950545,1015
9,1,17,34215,200,0.005845389,1017
10,1,19,25989,369,0.014198315,1019
11,1,21,43643,466,0.010677543,1021
12,1,23,13859,36,0.00259759,1023
13,1,25,25833,174,0.006735571,1025
14,1,27,13932,169,0.012130347,1027
15,1,29,14972,128,0.008549292,1029
16,1,31,49948,1452,0.029070233,1031
17,1,33,54428,685,0.012585434,1033
18,1,35,13228,108,0.0081645,1035
19,1,37,11539,153,0.013259381,1037
20,1,39,37765,465,0.012312988,1039
21,1,41,13906,161,0.011577736,1041
22,1,43,80406,1043,0.012971669,1043
23,1,45,50251,988,0.0196613,1045
24,1,47,43820,186,0.004244637,1047
25,1,49,71109,3351,0.047124837,1049
26,1,51,79303,834,0.010516626,1051
27,1,53,38319,1645,0.042929095,1053
28,1,55,104430,1576,0.015091449,1055
29,1,57,17241,126,0.007308161,1057
30,1,59,31704,761,0.02400328,1059
31,1,61,26790,455,0.016983949,1061
32,1,63,9045,36,0.0039801,1063
33,1,65,15760,62,0.00393401,1065
34,1,67,17302,125,0.007224598,1067
35,1,69,101547,1206,0.011876274,1069
36,1,71,53227,1903,0.035752532,1071
37,1,73,658466,5191,0.007883475,1073
38,1,75,14564,116,0.007964845,1075
39,1,77,92709,911,0.009826446,1077
40,1,79,34339,3237,0.094265995,1079
41,1,81,140247,1291,0.009205188,1081
42,1,83,82782,1509,0.0182286,1083
43,1,85,11299,44,0.00389415,1085
44,1,87,21452,104,0.004848033,1087
45,1,89,334811,6213,0.018556738,1089
46,1,91,21027,134,0.006372759,1091
47,1,93,30776,287,0.009325448,1093
48,1,95,93019,2064,0.022189015,1095
49,1,97,412992,6504,0.015748489,1097
50,1,99,23068,444,0.019247442,1099
51,1,101,229363,1872,0.008161735,1101
52,1,103,119490,2541,0.021265378,1103
53,1,105,10591,31,0.002927014,1105
54,1,107,19746,146,0.007393903,1107
55,1,109,32899,468,0.014225356,1109
56,1,111,22913,224,0.00977611,1111
57,1,113,52947,749,0.014146222,1113
58,1,115,83593,826,0.00988121,1115
59,1,117,195085,1565,0.008022144,1117
60,1,119,13763,26,0.001889123,1119
61,1,121,82291,747,0.009077542,1121
62,1,123,41616,331,0.007953672,1123
63,1,125,194656,1396,0.007171626,1125
64,1,127,67023,765,0.011413992,1127
65,1,129,17581,1584,0.090097264,1129
66,1,131,11670,39,0.003341902,1131
67,1,133,24484,447,0.018256821,1133
68,2,13,3141,977,0.311047437,2013
69,2,16,5561,1141,0.205178925,2016
70,2,20,291826,42636,0.146100759,2020
71,2,50,17013,14786,0.8691001,2050
72,2,60,997,480,0.481444333,2060
73,2,68,1826,118,0.064622125,2068
74,2,70,4847,3884,0.801320404,2070
75,2,90,97581,11163,0.11439727,2090
76,2,100,2508,344,0.137161085,2100
77,2,105,2150,1095,0.509302326,2105
78,2,110,31275,6046,0.193317346,2110
79,2,122,55400,6581,0.118790614,2122
80,2,130,13477,2907,0.215700824,2130
81,2,150,13592,2656,0.195409064,2150
82,2,164,1631,1223,0.74984672,2164
83,2,170,88995,9131,0.10260127,2170
84,2,180,9492,7749,0.816371681,2180
85,2,185,9430,5635,0.597560976,2185
86,2,188,7523,6552,0.870929151,2188
87,2,195,3815,879,0.230406291,2195
88,2,198,5559,2613,0.47004857,2198
89,2,220,8881,2232,0.251323049,2220
90,2,230,968,55,0.056818182,2230
91,2,240,7029,1102,0.156779058,2240
92,2,261,9636,1921,0.199356579,2261
93,2,270,7459,7227,0.968896635,2270
94,2,275,2369,574,0.242296328,2275
95,2,282,662,344,0.519637462,2282
96,2,290,5588,4277,0.765390122,2290
